category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03010,Ribosome,112/1863,164/6352,1.6352990250324677e-25,5.674487616862663e-23,5.577230359058101e-23,6142/6208/64432/6170/6141/6217/6134/64928/6193/6187/6171/6168/6207/6227/6183/6176/6137/84545/6138/7311/6222/23521/6161/116541/6203/6175/6181/11224/6132/3921/6209/6228/6147/51187/10573/25873/6156/2197/65993/64975/6223/6205/28973/6152/54534/60488/65003/6224/51021/6159/51073/9349/6201/6164/6188/6229/6235/740/6155/4736/6230/51116/51253/6157/51649/6165/51258/6169/6129/6160/51081/63875/29074/6130/6233/6189/6206/51650/6218/6210/92259/29093/6143/55168/6144/6191/28998/64981/64979/388524/6182/6139/6158/11222/64976/64949/51264/200916/64969/6133/128308/65008/29088/54148/79590/51121/6204/51373/6150/6232/64978/6234,112
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,79/1863,114/6352,6.598835522072046e-19,1.1448979630795e-16,1.125275110079654e-16,8294/8340/8359/8969/3012/8361/8357/8341/8355/8360/8968/8364/8346/8358/8350/3122/128312/8362/8348/8367/8331/8338/92815/85236/8329/8366/121504/8970/3015/8365/653604/85235/8335/317772/8339/8334/8363/8352/8330/8345/55766/8343/712/126961/3108/3014/8368/8344/3111/8354/3018/8332/6628/3017/8337/8353/3113/6738/6634/3109/8356/554313/440689/723790/333932/8342/1991/87/3458/3123/3127/3115/8370/3117/713/7124/714/2215/3586,79
Human Diseases,Substance dependence,hsa05034,Alcoholism,83/1863,144/6352,8.061818460239645e-13,9.32483668567719e-11,9.165014670588227e-11,8294/8340/8359/8969/3012/8361/8357/8341/8355/8360/8968/805/8364/8346/8358/8350/128312/8362/8348/8367/8331/8338/92815/85236/8329/8366/121504/8970/3015/8365/2791/5499/653604/85235/8335/317772/8339/8334/8363/8352/8330/64764/8345/55766/5567/8343/5500/126961/8520/3014/8368/8344/8354/3018/8332/3017/8337/5894/8353/9734/1386/5501/3265/10488/9759/2905/9586/8356/554313/440689/723790/333932/2783/148327/8342/116443/2775/5569/84152/8370/94235/116444/4129,83
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,92/1863,189/6352,1.0245323626835937e-8,8.887818246280175e-7,8.735486460775904e-7,6142/6208/6170/6141/6217/6134/6193/6187/6171/6168/6207/6227/6176/6137/6138/7311/6222/3455/23521/6161/6203/6175/6181/11224/6132/3921/6209/6228/6147/51187/25873/6156/2197/6223/6205/6152/6224/5336/6159/9349/6201/6164/6188/3654/6229/6235/6155/4736/6230/1675/6157/712/6165/6169/6129/6160/6130/6233/6189/6206/6218/6210/2162/6143/6144/6191/388524/3572/6139/6158/5602/200916/6133/3454/3570/51121/6204/6774/728/3725/719/6232/5600/3627/6403/23586/713/4312/7124/6234/714/9636,92
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,82/1863,171/6352,1.5044087362108305e-7,1.0440596629303164e-5,1.0261651169101244e-5,8294/8340/8359/8969/3012/8361/8357/8341/8355/8360/8968/8364/8346/8358/8350/293/128312/8362/8348/8367/8331/8338/92815/85236/8329/8366/121504/8970/7419/3015/8365/653604/5336/85235/8335/317772/8339/8334/8363/8352/8330/8345/55766/8343/126961/8520/3014/3146/8368/8344/8354/3018/8332/3017/8337/1535/5894/8353/9734/292/3674/1378/79792/9759/8356/554313/440689/723790/333932/8342/728/2359/1991/5600/177/6403/366/2358/8370/4353/2215/566,82
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,92/1863,221/6352,4.852271786978493e-5,0.002806230516802562,0.0027581334368088277,4697/517/518/805/293/509/1350/7311/7384/25828/10376/1337/1537/4702/6391/7388/5692/1327/7419/27089/29985/11047/4713/513/1351/4722/374291/4718/5694/6392/1329/506/54539/4712/4698/3831/516/1340/5567/4711/9167/57181/4695/55630/1347/91252/5702/5691/29796/5682/5693/9817/7157/5714/84790/498/6233/11315/6647/5709/203068/4723/10476/1349/4724/4694/581/2774/27173/10213/292/7314/4708/514/7494/4728/598/10383/5704/5602/10975/27429/64116/539/522/51807/113457/81027/84617/440567/3798/4129,92
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,93/1863,227/6352,9.064690881743675e-5,0.004493496765664365,0.0044164809709548135,4697/517/518/293/509/1350/7384/10376/1337/1537/4702/6391/7388/5692/1327/7419/27089/11047/4713/513/1351/4722/374291/3312/4718/5694/6392/1329/506/54539/4712/4698/3831/516/1340/64764/5567/4711/712/9167/4695/1347/5702/5691/29796/572/5682/5693/5714/84790/498/6647/5709/203068/4723/10476/1349/1535/4724/4694/1386/581/10213/292/4708/514/4728/10383/5704/5602/10488/10975/2905/9586/539/6261/522/148327/51807/116443/113457/775/5600/81027/4851/4684/84617/713/7124/440567/714/116444/3798,93
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,102/1863,260/6352,3.0274036604657783e-4,0.013131363377270314,0.012906299815669897,4697/2876/5436/5441/517/518/293/509/1350/5440/7384/10376/1337/1537/4702/6391/1175/7388/2877/5692/1327/7419/27089/11047/4713/513/25942/1351/4722/374291/4718/5694/6392/1329/506/54539/4712/2033/4698/1387/3831/60673/516/1340/64764/4711/9167/4695/1347/5702/5691/29796/10120/5682/5693/7157/5714/84790/498/6647/5709/203068/4723/10476/1349/6874/5434/4724/4694/581/10213/292/4708/196385/514/11258/4728/10383/5704/5602/23186/27113/3092/10488/10975/10126/9586/539/6648/522/148327/51807/8632/113457/55567/5438/81027/84617/1770/8701/440567/3798,102
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,49/1863,109/6352,3.503488325515919e-4,0.013507893877266933,0.013276376812481379,4697/517/9296/518/509/1350/7384/1337/1537/4702/6391/7388/1327/27089/4713/513/1351/4722/374291/4718/6392/1329/506/54539/4712/4698/516/1340/4711/27068/9167/4695/1347/29796/498/4723/10476/1349/4724/4694/8992/4708/514/4728/10975/533/539/522/440567,49
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,78/1863,196/6352,9.272761600218997e-4,0.03217648275275992,0.031624997457589,4697/64223/517/518/509/1350/28958/7384/25915/1337/1537/4702/6391/7388/1327/27089/4713/513/1351/4722/374291/6595/4718/6392/1329/506/54539/4712/4698/516/1340/64764/8289/5567/4711/9167/4695/1347/29796/29078/10818/498/4723/10476/7248/1349/284184/51287/5592/84987/4724/4694/1386/6199/4708/514/51548/4728/788/196883/3265/10488/10975/55811/9586/539/5571/522/388753/148327/6605/656/6196/5600/2180/440567/53632/1375,78
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,73/1863,183/6352,0.0012355792972639722,0.03897691055914531,0.03830887007784948,4697/517/518/293/509/1350/7384/1337/1537/4702/6391/7388/27/1327/7419/27089/9446/10327/4713/513/1351/4722/374291/4718/6392/1329/506/54539/4712/4698/516/1340/4711/2309/9167/4695/1347/29796/572/9817/498/119391/6647/4723/10476/1349/1535/4724/3162/5894/4694/292/4708/514/4728/4258/5602/4257/196/3265/5795/10975/873/539/5170/6648/522/3725/10861/1950/5600/2946/440567,73
Genetic Information Processing,Transcription,hsa03040,Spliceosome,72/1863,181/6352,0.0014546667004510436,0.04206411208804268,0.0413431588549244,79228/22827/83443/6633/3312/4809/55110/10286/57819/84844/55702/10084/27339/56949/6635/51639/2521/26864/22985/5356/26832/6628/6637/26831/124904621/101954267/51503/9410/7307/102724594/54883/27258/23350/101447996/23658/6634/4670/124904619/10189/6629/7919/124904613/26869/57187/84321/26870/124905574/26871/124904146/124904627/26834/26835/103625684/26828/124904138/124904139/124904141/124904142/124904143/57461/6060/26863/25766/124904136/124904145/101954264/106480225/101954272/124904634/124904122/6063/26830,72
